NoEssai,NoBloc,NoTraitement,ID,ID_bl,NtotDose,PtotDose,KtotDose,test_type,RendVendable
34,2,6,34-2-6,34-2,150,180,270,N,35.84050889
34,2,7,34-2-7,34-2,150,180,270,N,33.99297056
34,3,1,34-3-1,34-3,0,180,270,N,9.298408889
34,3,2,34-3-2,34-3,75,180,270,N,20.90927656
34,3,3,34-3-3,34-3,150,180,270,N,23.58430389
34,3,4,34-3-4,34-3,200,180,270,N,28.025335
34,3,5,34-3-5,34-3,150,180,270,N,34.48738222
34,3,6,34-3-6,34-3,150,180,270,N,28.59781167
34,3,7,34-3-7,34-3,150,180,270,N,26.22984
35,1,1,35-1-1,35-1,0,180,270,N,5.744716611
35,1,2,35-1-2,35-1,75,180,270,N,17.95668478
35,1,3,35-1-3,35-1,150,180,270,N,17.89683494
35,1,4,35-1-4,35-1,200,180,270,N,15.0899645
35,1,5,35-1-5,35-1,150,180,270,N,24.88191767
35,1,6,35-1-6,35-1,150,180,270,N,27.32708694
35,1,7,35-1-7,35-1,150,180,270,N,25.97656244
35,2,1,35-2-1,35-2,0,180,270,N,8.824814556
35,2,2,35-2-2,35-2,75,180,270,N,14.16359317
35,2,3,35-2-3,35-2,150,180,270,N,16.62177328
35,2,4,35-2-4,35-2,200,180,270,N,21.18423883
35,2,5,35-2-5,35-2,150,180,270,N,31.06119611
35,2,6,35-2-6,35-2,150,180,270,N,30.12701828
35,2,7,35-2-7,35-2,150,180,270,N,24.47684706
35,3,1,35-3-1,35-3,0,180,270,N,4.761965
35,3,2,35-3-2,35-3,75,180,270,N,26.2844855
35,3,3,35-3-3,35-3,150,180,270,N,20.60222089
35,3,4,35-3-4,35-3,200,180,270,N,14.37697083
35,3,5,35-3-5,35-3,150,180,270,N,30.21549194
35,3,6,35-3-6,35-3,150,180,270,N,28.493725
35,3,7,35-3-7,35-3,150,180,270,N,27.1588135
46,1,1,46-1-1,46-1,0,0,0,NPK,5.4
46,1,2,46-1-2,46-1,150,200,200,NPK,18.89333333
46,1,3,46-1-3,46-1,0,200,200,NPK,12.38636364
46,1,4,46-1-4,46-1,75,200,200,NPK,16.22325581
46,1,5,46-1-5,46-1,225,200,200,NPK,27.22465116
46,1,6,46-1-6,46-1,150,0,200,NPK,13.52590909
46,1,7,46-1-7,46-1,150,100,200,NPK,17.09578947
46,1,8,46-1-8,46-1,150,300,200,NPK,20.53255814
46,1,9,46-1-9,46-1,150,200,0,NPK,14.7695
46,1,10,46-1-10,46-1,150,200,100,NPK,37.68285714
46,1,11,46-1-11,46-1,150,200,300,NPK,19.29531915
46,2,1,46-2-1,46-2,0,0,0,NPK,6.590697674
46,2,2,46-2-2,46-2,150,200,200,NPK,17.74418605
46,2,3,46-2-3,46-2,0,200,200,NPK,5.861777778
46,2,4,46-2-4,46-2,75,200,200,NPK,23.1952
46,2,5,46-2-5,46-2,225,200,200,NPK,22.45906977
46,2,6,46-2-6,46-2,150,0,200,NPK,28.60585366
46,2,7,46-2-7,46-2,150,100,200,NPK,31.48325581
46,2,8,46-2-8,46-2,150,300,200,NPK,19.52090909
46,2,9,46-2-9,46-2,150,200,0,NPK,28.885
46,2,10,46-2-10,46-2,150,200,100,NPK,21.95209302
46,2,11,46-2-11,46-2,150,200,300,NPK,20.165
46,3,1,46-3-1,46-3,0,0,0,NPK,2.535918367
46,3,2,46-3-2,46-3,150,200,200,NPK,29.40680851
46,3,3,46-3-3,46-3,0,200,200,NPK,13.52489796
46,3,4,46-3-4,46-3,75,200,200,NPK,21.04173913
46,3,5,46-3-5,46-3,225,200,200,NPK,41.529
46,3,6,46-3-6,46-3,150,0,200,NPK,17.58863636
46,3,7,46-3-7,46-3,150,100,200,NPK,29.9532
46,3,8,46-3-8,46-3,150,300,200,NPK,19.06232558
46,3,9,46-3-9,46-3,150,200,0,NPK,30.88333333
46,3,10,46-3-10,46-3,150,200,100,NPK,28.34
46,3,11,46-3-11,46-3,150,200,300,NPK,19.05130435
47,1,1,47-1-1,47-1,0,0,0,NPK,12.23222222
47,1,12,47-1-12,47-1,0,0,0,NPK,10.26298701
47,1,2,47-1-2,47-1,150,200,200,NPK,32.9725
47,1,13,47-1-13,47-1,150,200,200,NPK,26.67904762
47,1,3,47-1-3,47-1,0,200,200,NPK,18.8025
47,1,14,47-1-14,47-1,0,200,200,NPK,14.87936508
47,1,4,47-1-4,47-1,75,200,200,NPK,15.45818182
47,1,15,47-1-15,47-1,75,200,200,NPK,13.4952381
47,1,5,47-1-5,47-1,225,200,200,NPK,28.54761905
47,1,16,47-1-16,47-1,225,200,200,NPK,19.91503759
47,1,6,47-1-6,47-1,150,0,200,NPK,24.57454545
47,1,17,47-1-17,47-1,150,0,200,NPK,16.35
47,1,7,47-1-7,47-1,150,100,200,NPK,15.55727273
47,1,18,47-1-18,47-1,150,100,200,NPK,23.11758242
47,1,8,47-1-8,47-1,150,300,200,NPK,27.19263158
47,1,19,47-1-19,47-1,150,300,200,NPK,35.69450549
47,1,9,47-1-9,47-1,150,200,0,NPK,19.62
47,1,20,47-1-20,47-1,150,200,0,NPK,11.28928571
47,1,10,47-1-10,47-1,150,200,100,NPK,18.19826087
47,1,21,47-1-21,47-1,150,200,100,NPK,17.21052632
47,1,11,47-1-11,47-1,150,200,300,NPK,25.8112
47,1,22,47-1-22,47-1,150,200,300,NPK,18.91928571
47,2,1,47-2-1,47-2,0,0,0,NPK,10.78526316
47,2,12,47-2-12,47-2,0,0,0,NPK,10.38095238
47,2,2,47-2-2,47-2,150,200,200,NPK,42.183
47,2,13,47-2-13,47-2,150,200,200,NPK,35.2952381
47,2,3,47-2-3,47-2,0,200,200,NPK,20.01636364
47,2,14,47-2-14,47-2,0,200,200,NPK,23.13469388
47,2,4,47-2-4,47-2,75,200,200,NPK,22.52666667
47,2,15,47-2-15,47-2,75,200,200,NPK,18.86890756
47,2,5,47-2-5,47-2,225,200,200,NPK,28.34
