,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
887,75-3-5,75,3,75-3,5,N
888,75-3-6,75,3,75-3,6,N
889,75-3-7,75,3,75-3,7,N
890,75-3-8,75,3,75-3,8,N
891,75-3-9,75,3,75-3,9,N
892,8701-1-1,8701,1,8701-1,1,N
893,8701-1-2,8701,1,8701-1,2,N
894,8701-2-2,8701,2,8701-2,2,N
895,8701-3-2,8701,3,8701-3,2,N
896,8701-4-2,8701,4,8701-4,2,N
897,8701-5-2,8701,5,8701-5,2,N
898,8701-1-3,8701,1,8701-1,3,N
899,8701-2-3,8701,2,8701-2,3,N
900,8701-3-3,8701,3,8701-3,3,N
901,8701-4-3,8701,4,8701-4,3,N
902,8701-5-3,8701,5,8701-5,3,N
903,8701-1-4,8701,1,8701-1,4,N
904,8701-2-4,8701,2,8701-2,4,N
905,8701-3-4,8701,3,8701-3,4,N
906,8701-4-4,8701,4,8701-4,4,N
907,8701-5-4,8701,5,8701-5,4,N
908,8701-6-4,8701,6,8701-6,4,N
909,8701-1-5,8701,1,8701-1,5,N
910,8701-2-5,8701,2,8701-2,5,N
911,8701-3-5,8701,3,8701-3,5,N
912,8701-4-5,8701,4,8701-4,5,N
913,8701-5-5,8701,5,8701-5,5,N
914,8701-6-5,8701,6,8701-6,5,N
915,8702-1-1,8702,1,8702-1,1,N
916,8702-1-2,8702,1,8702-1,2,N
917,8702-2-2,8702,2,8702-2,2,N
918,8702-3-2,8702,3,8702-3,2,N
919,8702-5-2,8702,5,8702-5,2,N
920,8702-1-3,8702,1,8702-1,3,N
921,8702-2-3,8702,2,8702-2,3,N
922,8702-3-3,8702,3,8702-3,3,N
923,8702-4-3,8702,4,8702-4,3,N
924,8702-5-3,8702,5,8702-5,3,N
925,8702-1-4,8702,1,8702-1,4,N
926,8702-2-4,8702,2,8702-2,4,N
927,8702-3-4,8702,3,8702-3,4,N
928,8702-4-4,8702,4,8702-4,4,N
929,8702-5-4,8702,5,8702-5,4,N
930,8702-6-4,8702,6,8702-6,4,N
931,8702-1-5,8702,1,8702-1,5,N
932,8702-2-5,8702,2,8702-2,5,N
933,8702-3-5,8702,3,8702-3,5,N
934,8702-4-5,8702,4,8702-4,5,N
